year,rating,num_reviews,body,acidity,price
2015,4.4,367,,,56.75
2019,4.4,363,5,3,20.9
2017,4.4,360,4,3,30.73
2014,4.4,351,5,3,49.9
2001,4.4,349,4,3,52
2011,4.4,343,4,3,90
2019,4.4,336,5,3,26.63
2019,4.4,334,,,32.58
2019,4.4,333,,,46.5
2015,4.4,328,5,3,32.58118708
2017,4.4,319,4,3,29.95
2010,4.4,316,4,3,34.9
2011,4.4,313,4,3,43.9
2016,4.4,309,4,3,65
1994,4.4,306,5,1,35.9
2010,4.4,305,5,3,210.5
2011,4.4,298,2,3,55.95
2005,4.4,296,4,3,92.87162741
2015,4.4,296,4,3,65.4
2008,4.4,293,4,3,45.890156
2014,4.4,292,4,3,304
2015,4.4,269,4,3,47.5
2018,4.4,269,4,3,29.9
2016,4.4,267,4,3,40.45
2007,4.4,267,4,3,49.65
2004,4.4,262,4,2,57.11
1996,4.4,259,5,3,141
2010,4.4,258,4,3,133.75
2016,4.4,252,4,3,67.9
2011,4.4,249,4,3,75.92
2010,4.4,245,2,3,47.52
2017,4.4,243,4,3,29.9
2017,4.4,241,4,3,19.99
2010,4.4,239,4,3,59.25
1996,4.4,236,4,3,73.9
,4.4,234,4,3,39.35
2018,4.4,233,4,3,40.3
2018,4.4,225,5,3,42.75
2016,4.4,224,4,3,149.5
2012,4.4,222,4,3,76.5
2008,4.4,220,4,3,113.2
2019,4.4,219,3,3,26.9
1994,4.4,218,5,3,249.8
2017,4.4,217,5,3,29.95
2014,4.4,215,4,3,33
2014,4.4,208,5,3,37
2014,4.4,207,5,3,37.13
2011,4.4,206,,,49.95
2017,4.4,204,4,3,50.9
2006,4.4,201,2,3,51.95
2017,4.4,201,3,3,49.2
2015,4.4,200,5,3,35.2
2019,4.4,196,,,20.74
2008,4.4,195,4,3,87.3
2012,4.4,194,4,3,45.95
2013,4.4,189,4,2,64.99
2007,4.4,187,4,3,350.03
2013,4.4,185,4,3,69.9
2017,4.4,180,4,3,36.95
2007,4.4,177,4,3,154.37
2014,4.4,173,4,3,43.85
2017,4.4,172,5,3,77.98
2013,4.4,172,4,3,91.43
2007,4.4,172,5,3,195
2016,4.4,169,4,3,125.84
2001,4.4,168,4,3,69
2020,4.4,168,3,3,17.49
2014,4.4,166,2,3,44.41
2014,4.4,165,4,3,149
2009,4.4,165,4,2,73.6
2014,4.4,164,4,3,82.75
2013,4.4,164,4,3,78.38
2016,4.4,162,5,3,59.95
2014,4.4,162,4,3,80.95
